MEG-year,MEG-br,ME2G-year,ME2G-br,ME2G-ref,Mu2em-year,Mu2em-cr,Mu2ep-year,Mu2ep-cr,Mu3e-year,Mu3e-br,MACE-year,MACE-cr,MACE-ref
1947,0.1,1986,7.20E-11,PhysRevLett.57.3241,1952,1.00E-01,1972,2.60E-08,1958,3.00E-05,1968,1.00E+00,PhysRevLett.21.1709
1948,0.04,1983,8.40E-09,PhysRevLett.51.164,1955,5.00E-04,1978,1.50E-09,1959,5.00E-05,1982,4.41E-02,PhysRevD.25.1174
1955,2.00E-05,1978,5.00E-08,PhysRevLett.41.442,1961,4.00E-06,1980,9.00E-10,1961,4.00E-06,1986,1.00E-02,PhysRevLett.57.671
1959,7.50E-06,1974,4.00E-06,10.1016/0550-3213(74)90514-8,1961,5.90E-06,1980,3.00E-10,1962,5.00E-07,1990,2.10E-06,PhysRevD.41.2709
1959,2.00E-06,1963,1.60E-05,10.1007/BF02783278,1962,2.20E-07,1988,1.70E-10,1976,1.90E-09,1991,6.50E-07,PhysRevLett.66.2716
1959,1.00E-05,,,,1964,2.20E-07,1993,8.90E-11,1984,1.30E-10,1999,8.30E-11,PhysRevLett.82.49
1959,1.20E-08,,,,1972,1.60E-08,,,1984,1.60E-10,,,
1960,1.20E-08,,,,1977,4.00E-10,1998,1.70E-12,1985,2.40E-12,,,
1961,2.50E-08,,,,1982,7.00E-11,1998,3.60E-11,1988,3.50E-11,,,
1962,1.90E-07,,,,1988,4.60E-12,,,1988,1.00E-12,,,
1962,6.00E-08,,,,1993,4.30E-12,,,1990,3.60E-11,,,
1963,4.30E-08,,,,1996,4.60E-11,,,,,,,
1964,2.20E-08,,,,2006,7.00E-13,,,,,,,
1971,2.90E-08,,,,,,,,,,,,
1977,3.60E-09,,,,,,,,,,,,
1977,1.10E-08,,,,,,,,,,,,
1979,1.90E-10,,,,,,,,,,,,
1982,1.70E-10,,,,,,,,,,,,
1986,4.90E-11,,,,,,,,,,,,
1999,1.20E-11,,,,,,,,,,,,
2010,2.80E-11,,,,,,,,,,,,
2011,2.40E-12,,,,,,,,,,,,
2016,4.20E-13,,,,,,,,,,,,